"","subject","cpu","mem","duration","battery","energy_consumption"
"110","react-mobx",18.267,2775980.008,59,0.396,23.379
"111","react-mobx",18.042,2723723.208,58,0.42,24.345
"112","react-mobx",18.181,2717406.925,58,0.384,22.294
"113","react-mobx",17.844,2729304.946,58,0.411,23.863
"114","react-mobx",18.306,2734244.614,59,0.491,28.98
"115","react-mobx",18.175,2774446.833,58,0.385,22.353
"116","react-mobx",18.337,2769989.867,58,0.406,23.576
"117","react-mobx",18.432,2782975.067,58,0.409,23.737
"118","react-mobx",18.093,2736300,58,0.404,23.449
"119","react-mobx",18.042,2767697.762,58,0.432,25.035
"120","react-mobx",18.134,2733059.581,58,0.416,24.101
"121","react-redux",18.01,2783207.136,58,0.298,17.296
"122","react-redux",18.015,2762687.917,59,0.416,24.564
"123","react-redux",18.333,2792273.051,58,0.381,22.079
"124","react-redux",18.227,2750866.73,57,0.448,25.543
"125","react-redux",18.118,2766895.75,57,0.384,21.885
"126","react-redux",18.298,2769689.363,58,0.454,26.316
"127","react-redux",18.317,2758889.748,58,0.391,22.694
"128","react-redux",18.25,2766804.522,58,0.472,27.357
"129","react-redux",18.467,2766193.112,58,0.413,23.935
"130","react-redux",17.943,2780634.174,58,0.361,20.928
"131","react-redux",18.432,2776329.928,57,0.385,21.95
"132","react-redux",18.199,2775415.221,58,0.426,24.703
"133","react-redux",18.289,2756679.977,57,0.346,19.716
"134","react-redux",18.547,2773086.866,59,0.388,22.897
"135","react-redux",18.058,2761856.338,59,0.404,23.818
"136","react-redux",18.275,2756061.62,58,0.427,24.755
"137","react-redux",18.675,2755920.076,59,0.493,29.112
"138","react-redux",18.475,2761538.776,58,0.499,28.969
"139","react-redux",18.013,2760568.699,59,0.405,23.867
"140","react-redux",17.938,2767798.883,57,0.46,26.235
"141","real-world",17.532,2748629.716,57,0.383,21.833
"142","real-world",17.74,2773844.099,59,0.342,20.165
"143","real-world",17.507,2765325.5,56,0.382,21.401
"144","real-world",17.403,2739350.154,57,0.366,20.861
"145","real-world",17.553,2745115.248,58,0.315,18.277
"146","real-world",17.806,2762300.638,57,0.38,21.664
"147","real-world",17.897,2776638.711,58,0.358,20.757
"148","real-world",15.746,2735218.501,59,0.23,13.582
"149","real-world",17.421,2761120.276,58,0.366,21.208
"150","real-world",17.829,2758026.474,59,0.274,16.19
"151","real-world",17.421,2762791.892,57,0.379,21.609
"152","real-world",17.838,2788073.8,59,0.332,19.569
"153","real-world",17.683,2744030.368,58,0.428,24.832
"154","real-world",17.704,2774938.357,59,0.362,21.379
"155","real-world",17.54,2765124.53,59,0.383,22.623
"156","real-world",17.798,2764803.569,57,0.398,22.671
"157","real-world",17.328,2751481.264,58,0.393,22.783
"158","real-world",15.689,2753529.523,57,0.211,12.047
"159","real-world",17.655,2777497.413,59,0.364,21.48
"160","real-world",16.966,2785471.985,58,0.361,20.955
"161","vue",17.952,2714314.405,59,0.389,22.949
"162","vue",17.834,2734301.478,59,0.302,17.807
"163","vue",17.881,2710223.992,58,0.385,22.314
"164","vue",17.825,2707422.319,58,0.381,22.083
"165","vue",17.588,2748191.621,57,0.278,15.849
"166","vue",18.262,2712246.195,57,0.395,22.52
"167","vue",17.935,2738903.763,58,0.381,22.126
"168","vue",17.954,2735325.257,58,0.394,22.829
"169","vue",18.097,2714891.522,59,0.383,22.609
"170","vue",17.933,2711120.946,58,0.297,17.234
"171","vue",18.078,2710209.753,57,0.363,20.669
"172","vue",18.008,2703160.443,58,0.391,22.662
"173","vue",16.43,2743378.945,58,0.258,14.962
"174","vue",18.112,2723324.555,58,0.342,19.809
"175","vue",17.598,2745765.483,58,0.331,19.215
"176","vue",17.919,2708663.536,58,0.367,21.289
"177","vue",18.047,2749317.258,58,0.394,22.861
"178","vue",18.098,2718092.084,58,0.13,7.512
"179","vue",18.008,2716305.129,59,0.35,20.645
"180","vue",19.151,2788401.257,59,0.3,17.707
